"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2011-01-21,1.54134,1.57266,1.514,1.536,18254100,23.04,1.86,32513962.6
2011-01-24,1.56866,1.654,1.54866,1.63266,24677820,24.4905,6.3,32580010.6
2011-01-25,1.64334,1.65934,1.60134,1.64534,19073340,24.6795,0.77,26556931.85
2011-01-26,1.64734,1.65866,1.60666,1.65,16197990,24.75,0.29,24324390.45
2011-01-27,1.64934,1.672,1.63534,1.66134,13434810,24.9195,0.68,22506559.25
2011-01-28,1.65866,1.65866,1.58334,1.60066,15732150,24.0105,-3.65,21762367.25
2011-01-31,1.60334,1.608,1.56666,1.60666,12473610,24.1005,0.37,21322663.25
2011-02-01,1.62066,1.64866,1.56934,1.594,10616865,23.91,-0.79,20890443.55
2011-02-02,1.61066,1.612,1.57794,1.596,8542080,23.94,0.13,20425744.35
2011-02-03,1.588,1.59334,1.54334,1.57534,7681005,23.6295,-1.3,19724642.9
2011-02-04,1.56266,1.578,1.548,1.564,8158755,23.46,-0.72,18586667.95
2011-02-07,1.55066,1.55066,1.52534,1.538,13425150,23.07,-1.66,17570771.2
2011-02-08,1.58534,1.68334,1.53334,1.63266,52577730,24.4905,6.16,19192549.4
2011-02-09,1.60866,1.612,1.51934,1.54734,39543915,23.2095,-5.23,19886229.6
2011-02-10,1.55066,1.576,1.52066,1.54766,12540285,23.2155,0.03,19789703.1
2011-02-11,1.55,1.58334,1.52934,1.55,9549030,23.25,0.15,19724513.1
2011-02-14,1.576,1.60934,1.53666,1.53866,19251045,23.0805,-0.73,19792975.35
2011-02-15,1.534,1.54466,1.504,1.52266,14412750,22.8405,-1.04,19295734.35
2011-02-16,1.54,1.66466,1.538,1.64866,61737075,24.7305,8.27,20603953.3
2011-02-17,1.642,1.69934,1.57,1.57334,39299115,23.5995,-4.57,20858941.25
2011-02-18,1.55534,1.566,1.53066,1.54534,35561535,23.1795,-1.78,21724312.95
2011-02-22,1.52534,1.53334,1.452,1.458,30968085,21.87,-5.65,22038826.2
2011-02-23,1.47866,1.5,1.40734,1.45534,24085605,21.8295,-0.19,22289439.45
